ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
105/10/03,"3,888,034","277,328,688",71.2,71.6,71.1,71.45,0.5,851
105/10/04,"5,169,849","370,215,087",71.45,71.75,71.3,71.75,0.3,718
105/10/05,"2,838,310","203,317,488",71.6,71.85,71.45,71.5,-0.25,489
105/10/06,"2,071,768","148,366,268",71.7,71.75,71.45,71.7,0.2,520
105/10/07,"3,053,425","218,908,302",71.6,71.8,71.6,71.65,-0.05,516
105/10/11,"6,945,823","499,048,287",72.35,72.45,71.2,71.45,-0.2,"1,371"
105/10/12,"6,057,198","435,873,394",71.5,72.3,71.35,72.25,0.8,"1,398"
105/10/13,"5,454,942","391,910,064",72.2,72.3,71.45,71.7,-0.55,785
105/10/14,"3,633,218","259,915,436",71.3,71.9,71.3,71.45,-0.25,856
105/10/17,"4,422,098","314,011,945",71.45,71.6,70.6,71.45,0,920
105/10/18,"3,619,946","259,443,312",71.5,71.95,71.3,71.95,0.5,796
105/10/19,"21,575,332","1,563,479,621",72,72.6,72,72.35,0.4,"3,246"
105/10/20,"4,836,032","351,124,080",72.35,72.75,72.35,72.65,0.3,"1,259"
105/10/21,"4,234,740","308,183,379",72.65,73.05,72.55,72.6,-0.05,749
105/10/24,"3,265,122","237,613,138",72.85,72.95,72.6,72.7,0.1,598
105/10/25,"3,715,773","271,850,460",72.85,73.5,72.85,73.4,0.7,"1,070"
105/10/26,"2,868,454","209,503,168",73,73.15,72.9,73,-0.4,469
105/10/27,"3,170,404","230,465,068",73,73.15,72.4,72.6,-0.4,629
105/10/28,"4,275,037","310,172,077",72.6,72.75,72.45,72.6,0,366
105/10/31,"5,464,146","394,236,445",72.25,72.7,71.7,72.6,0,717
