"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计",
"106/07/03","1,551,046","124,698,923","80.40","80.60","80.20","80.45","+0.05","619",
"106/07/04","1,237,199","99,372,295","80.45","80.60","80.00","80.00","-0.45","522",
"106/07/05","2,274,312","182,530,450","80.10","80.75","79.75","80.75","+0.75","765",
"106/07/06","2,492,419","200,268,697","80.75","80.75","80.20","80.40","-0.35","715",
"106/07/07","3,569,810","285,400,443","80.25","80.25","79.80","79.95","-0.45","1,199",
"106/07/10","3,549,929","284,770,751","80.00","80.45","80.00","80.35","+0.40","1,183",
"106/07/11","4,138,771","336,245,539","80.70","81.55","80.55","81.55","+1.20","1,699",
"106/07/12","3,948,227","322,132,882","81.50","81.80","81.30","81.55"," 0.00","1,168",
"106/07/13","3,992,624","328,058,991","81.95","82.40","81.75","82.20","+0.65","1,055",
"106/07/14","2,281,634","187,062,793","82.00","82.15","81.80","82.05","-0.15","903",
"106/07/17","2,687,643","221,106,322","82.50","82.55","82.00","82.20","+0.15","916",
"106/07/18","3,277,706","269,432,663","82.20","82.40","81.85","82.40","+0.20","799",
"106/07/19","7,267,690","601,075,693","82.35","83.00","82.35","82.70","+0.30","2,647",
"106/07/20","2,020,686","167,118,472","82.85","82.90","82.55","82.65","-0.05","564",
"106/07/21","4,465,912","367,035,273","82.60","82.60","82.05","82.10","-0.55","1,448",
"106/07/24","2,364,317","194,054,288","81.95","82.30","81.75","82.30","+0.20","973",
"106/07/25","2,126,646","175,014,217","82.30","82.50","82.10","82.45","+0.15","676",
"106/07/26","2,357,445","194,141,125","82.55","82.75","82.05","82.15","-0.30","865",
"106/07/27","2,213,720","183,279,010","82.20","83.00","82.20","83.00","+0.85","696",
"106/07/28","4,401,601","361,925,338","82.40","82.45","81.95","82.10","-0.90","1,291",
"106/07/31","2,806,599","228,312,297","81.45","81.50","81.05","81.35","X0.00","879",


